attendance,study_hours,quiz_score,assignment_score,midterm_score,sleep_hours,lms_login_count,participation,parent_education,internet_access,family_income,extracurricular,engagement_score,discipline_score,wellness_score,consistency_score,study_efficiency,attendance_band,high_engagement,target
100.0,3.92,53.21,53.14,62.34,5.28,36,48.97,High School,Yes,Medium,Yes,101.2425,53.168000000000006,52.800000000000004,56.23,10.815040650406504,Excellent,1,B
88.41,1.14,78.79,45.04,100.0,7.28,10,43.82,Bachelor,Yes,Medium,No,56.8985,58.540000000000006,72.8,74.61,36.817757009345804,Excellent,0,C
87.43,3.79,75.48,79.61,59.76,6.42,36,52.31,Bachelor,Yes,High,Yes,97.678,77.958,64.2,71.61666666666666,15.757828810020877,Excellent,1,A
77.26,3.69,59.09,62.87,81.55,6.86,37,46.97,Bachelor,Yes,Low,Yes,94.2835,61.358,68.60000000000001,67.83666666666666,12.599147121535184,Good,1,B
91.12,4.49,27.54,69.06,63.16,6.63,10,65.3,Bachelor,Yes,Medium,Yes,63.217,52.452,66.3,53.25333333333333,5.016393442622951,Excellent,0,B
73.16,3.2,100.0,78.31,74.71,5.99,18,18.71,Bachelor,Yes,High,Yes,57.2835,86.98599999999999,59.900000000000006,84.33999999999999,23.80952380952381,Good,0,B
82.24,2.53,93.97,68.45,91.96,5.1,36,100.0,Bachelor,Yes,High,No,107.78399999999999,78.658,51.0,84.79333333333334,26.620396600566572,Good,1,B
64.26,5.3,91.81,68.14,47.51,6.52,40,92.12,Bachelor,Yes,Low,No,105.521,77.608,65.19999999999999,69.15333333333332,14.573015873015875,Average,1,B
93.59,1.31,38.8,69.52,52.7,7.02,28,59.01,Bachelor,Yes,Low,Yes,89.509,57.232,70.19999999999999,53.673333333333325,16.796536796536795,Excellent,1,C
82.36,1.03,82.88,70.1,100.0,8.59,14,63.98,Bachelor,Yes,Medium,No,65.821,75.21199999999999,85.9,84.32666666666667,40.82758620689654,Good,0,C
100.0,1.27,62.37,36.85,82.71,6.99,8,82.94,High School,Yes,Medium,No,67.735,47.058,69.9,60.64333333333334,27.47577092511013,Excellent,0,C
100.0,4.12,57.47,45.06,37.49,7.75,44,61.91,Master,Yes,Low,No,116.47749999999999,50.024,77.5,46.67333333333334,11.224609375,Excellent,1,B
89.45,2.2,50.13,62.95,55.78,6.52,24,39.95,Bachelor,No,High,No,77.295,57.822,65.19999999999999,56.28666666666667,15.665625,Excellent,0,C
79.03,3.3,91.19,78.61,15.99,6.89,15,66.06,High School,Yes,Low,Yes,66.6755,83.642,68.89999999999999,61.93000000000001,21.206976744186047,Good,0,C
63.81,5.99,70.8,75.79,28.71,8.3,3,46.27,High School,Yes,Low,No,38.401,73.79400000000001,83.0,58.43333333333334,10.128755364806866,Average,0,B
91.57,1.38,65.31,71.31,74.32,4.74,5,79.73,Master,Yes,Medium,Yes,59.482,68.91,47.400000000000006,70.31333333333333,27.44117647058824,Excellent,0,C
81.15,0.5,71.66,90.82,36.64,6.94,23,38.39,High School,Yes,Medium,Yes,72.5,83.156,69.4,66.37333333333333,47.77333333333333,Good,0,C
86.07,4.99,68.57,100.0,52.79,7.75,20,44.41,Bachelor,Yes,High,No,71.22699999999999,87.428,77.5,73.78666666666666,11.447412353923204,Excellent,0,B
100.0,2.0,83.11,63.55,50.88,5.7,38,68.78,High School,Yes,Medium,No,109.195,71.374,57.0,65.84666666666666,27.703333333333333,Excellent,1,B
65.63,1.39,27.56,100.0,81.61,7.87,42,95.75,Master,Yes,Medium,Yes,109.908,71.024,78.7,69.72333333333334,11.531380753138077,Average,1,C
64.14,3.31,57.74,67.95,95.37,9.3,8,55.72,High School,Yes,Medium,No,48.379,63.86600000000001,93.0,73.68666666666667,13.39675174013921,Average,0,C
74.45,3.16,39.94,100.0,53.11,4.0,2,66.34,Bachelor,Yes,Medium,Yes,45.6425,75.976,40.0,64.35000000000001,9.600961538461538,Good,0,C
90.32,1.94,69.46,57.49,100.0,6.32,3,51.68,Master,Yes,Medium,Yes,49.032,62.278,63.2,75.64999999999999,23.625850340136054,Excellent,0,C
86.32,4.51,36.75,51.19,23.76,5.11,3,74.05,Bachelor,Yes,Medium,No,53.22449999999999,45.414,51.1,37.233333333333334,6.669691470054446,Excellent,0,C
64.56,2.1,42.84,48.31,64.04,7.11,17,35.94,High School,Yes,Medium,No,57.081,46.122,71.10000000000001,51.73,13.819354838709678,Average,0,D
89.35,2.02,70.73,72.33,34.95,9.38,38,65.63,Master,Yes,Medium,No,104.67999999999999,71.69,93.80000000000001,59.336666666666666,23.420529801324506,Excellent,1,C
59.98,0.5,59.72,63.49,34.29,7.02,43,90.97,High School,Yes,Low,No,108.2355,61.982,70.19999999999999,52.5,39.81333333333333,Average,1,C
65.43,0.5,71.41,70.4,68.0,9.23,16,44.54,High School,Yes,Medium,No,58.0355,70.804,92.30000000000001,69.93666666666667,47.60666666666666,Average,0,C
76.27,3.93,43.37,62.84,75.23,4.74,32,58.51,Bachelor,Yes,Medium,No,89.322,55.052,47.400000000000006,60.48,8.797160243407708,Good,1,B
69.7,1.12,60.7,53.46,46.2,6.28,22,41.58,Bachelor,Yes,Medium,No,67.78999999999999,56.356,62.800000000000004,53.45333333333334,28.632075471698112,Average,0,C
91.35,3.23,64.08,66.74,70.78,6.63,15,47.84,Bachelor,Yes,Medium,Yes,66.4325,65.676,66.3,67.2,15.148936170212764,Excellent,0,B
82.3,6.97,40.36,55.94,30.7,6.54,19,86.32,Master,Yes,High,No,78.88499999999999,49.708,65.4,42.333333333333336,5.063989962358845,Good,0,B
100.0,4.34,52.44,100.0,77.04,7.73,19,64.38,Bachelor,Yes,High,No,79.595,80.976,77.30000000000001,76.49333333333334,9.820224719101123,Excellent,0,A
74.29,3.55,68.17,80.9,58.1,4.0,36,56.86,High School,Yes,Medium,No,94.2165,75.80799999999999,40.0,69.05666666666666,14.982417582417584,Good,1,B
76.17,4.26,58.39,83.28,58.05,5.01,27,66.33,High School,Yes,Medium,No,83.74199999999999,73.324,50.099999999999994,66.57333333333334,11.100760456273765,Good,1,B
96.16,7.38,49.75,65.73,56.18,6.82,5,20.11,High School,Yes,Medium,Yes,46.183499999999995,59.33800000000001,68.2,57.22,5.936754176610979,Excellent,0,A
76.64,0.5,69.18,51.9,74.67,7.39,31,21.23,High School,Yes,Medium,No,78.63149999999999,58.812,73.89999999999999,65.25,46.120000000000005,Good,0,C
100.0,3.26,55.88,89.25,21.13,7.73,41,68.31,High School,Yes,Low,No,113.5775,75.902,77.30000000000001,55.419999999999995,13.11737089201878,Excellent,1,B
86.11,6.15,70.15,57.96,53.58,5.59,11,60.37,Master,Yes,Medium,No,61.730999999999995,62.836,55.9,60.56333333333333,9.811188811188812,Excellent,0,B
42.71,4.05,74.9,69.54,51.93,6.49,4,39.98,High School,Yes,High,Yes,30.9435,71.68400000000001,64.9,65.45666666666666,14.831683168316834,Poor,0,C
95.66,5.67,75.79,83.05,72.72,6.22,14,72.24,Bachelor,Yes,Medium,No,72.541,80.146,62.199999999999996,77.18666666666667,11.362818590704649,Excellent,0,A
91.69,2.37,67.27,70.42,82.88,6.23,3,54.05,Bachelor,Yes,Medium,Yes,50.104,69.16,62.300000000000004,73.52333333333333,19.96142433234421,Excellent,0,C
92.27,1.25,61.71,47.26,54.69,8.64,29,54.96,High School,Yes,Low,No,89.53450000000001,53.04,86.4,54.553333333333335,27.426666666666666,Excellent,1,C
49.34,6.94,64.23,41.11,51.88,8.2,6,50.87,Bachelor,Yes,High,Yes,38.9865,50.358000000000004,82.0,52.406666666666666,8.089420654911839,Poor,0,B
68.06,3.64,88.76,65.74,31.95,5.04,16,60.13,High School,Yes,Low,No,62.8535,74.94800000000001,50.4,62.15,19.129310344827584,Average,0,C
69.17,4.99,52.47,68.31,100.0,8.57,11,38.11,Bachelor,Yes,Low,Yes,50.236999999999995,61.974,85.7,73.59333333333333,8.759599332220366,Average,0,B
65.38,5.1,89.54,74.46,66.33,7.41,22,48.95,High School,Yes,Medium,No,68.12049999999999,80.49199999999999,74.1,76.77666666666666,14.678688524590166,Average,0,B
100.0,5.8,55.89,85.73,100.0,6.54,27,52.59,High School,Yes,Low,No,88.64750000000001,73.79400000000001,65.4,80.54,8.219117647058823,Excellent,1,A
77.82,4.03,73.65,38.56,84.86,6.26,18,40.54,High School,Yes,High,No,64.37199999999999,52.596000000000004,62.599999999999994,65.69,14.642147117296224,Good,0,C
77.45,4.11,68.57,78.85,33.91,8.99,7,61.52,Bachelor,Yes,Low,No,52.9875,74.738,89.9,60.44333333333333,13.418786692759292,Good,0,C
86.28,4.4,77.24,62.49,84.99,6.62,34,56.8,Bachelor,Yes,Medium,No,95.398,68.39,66.2,74.90666666666665,14.303703703703702,Excellent,1,B
86.54,2.35,14.38,77.86,51.01,8.83,44,66.38,Bachelor,Yes,Low,Yes,112.884,52.468,88.3,47.75,4.2925373134328355,Excellent,1,B
35.0,5.39,75.12,64.37,65.24,5.16,14,51.53,Master,Yes,Low,No,46.1325,68.67,51.6,68.24333333333334,11.75586854460094,Poor,0,B
68.3,2.47,61.79,57.46,66.37,7.3,43,99.88,High School,No,High,Yes,113.375,59.192,73.0,61.873333333333335,17.806916426512966,Average,1,C
56.81,5.49,76.32,70.85,42.16,7.9,23,21.94,Bachelor,Yes,Low,Yes,59.8685,73.038,79.0,63.10999999999999,11.759630200308164,Average,0,B
84.0,4.93,70.25,49.11,51.41,6.74,37,63.54,Master,Yes,Low,Yes,100.785,57.566,67.4,56.923333333333325,11.84654300168634,Good,1,B
73.67,0.5,81.67,95.19,80.86,7.65,28,96.7,High School,Yes,Medium,No,91.95949999999999,89.782,76.5,85.90666666666668,54.446666666666665,Good,1,C
78.23,4.95,47.28,63.08,53.14,6.33,19,59.33,Bachelor,Yes,Low,No,70.713,56.760000000000005,63.3,54.5,7.946218487394958,Good,0,B
46.82,3.92,32.21,60.35,100.0,5.36,9,55.03,High School,Yes,Low,Yes,43.6445,49.094,53.6,64.18666666666667,6.546747967479675,Poor,0,C
73.35,5.9,35.87,93.65,56.05,8.8,20,55.69,Master,Yes,Low,No,69.595,70.53800000000001,88.0,61.85666666666666,5.1985507246376805,Good,0,B
94.73,6.62,55.93,69.9,47.36,6.65,21,41.04,Master,No,Low,No,74.9155,64.31200000000001,66.5,57.73,7.33989501312336,Excellent,0,B
99.14,3.7,50.43,52.53,49.15,7.3,9,49.23,Master,Yes,Low,Yes,60.506499999999996,51.69,73.0,50.70333333333334,10.729787234042552,Excellent,0,C
88.78,4.14,74.22,86.35,56.08,6.51,18,68.26,High School,Yes,Medium,Yes,75.138,81.49799999999999,65.1,72.21666666666665,14.439688715953308,Excellent,0,B
57.97,1.19,87.09,67.64,62.2,7.96,12,57.85,Master,Yes,Low,Yes,52.751999999999995,75.42,79.6,72.31,39.76712328767123,Average,0,C
96.89,3.2,78.0,65.11,66.99,6.38,9,40.04,Bachelor,No,High,Yes,57.421499999999995,70.26599999999999,63.8,70.03333333333335,18.57142857142857,Excellent,0,B
88.86,6.48,54.28,52.68,86.79,8.24,6,44.51,Bachelor,Yes,High,No,51.2285,53.32,82.4,64.58333333333333,7.25668449197861,Excellent,0,A
76.24,3.5,63.2,72.11,47.27,6.82,16,63.11,Master,Yes,Low,Yes,66.4615,68.54599999999999,68.2,60.86000000000001,14.044444444444444,Good,0,C
47.62,5.17,75.66,67.83,49.22,6.28,5,59.97,High School,Yes,Low,Yes,39.159499999999994,70.962,62.800000000000004,64.23666666666666,12.26256077795786,Poor,0,C
92.3,3.46,89.46,78.02,70.74,5.78,26,40.43,High School,Yes,High,No,81.4125,82.596,57.800000000000004,79.40666666666665,20.05829596412556,Excellent,1,B
69.12,3.29,84.19,57.87,100.0,6.72,8,82.01,Master,Yes,High,Yes,56.694500000000005,68.398,67.2,80.68666666666667,19.624708624708624,Average,0,B
83.19,4.53,84.23,85.72,64.41,6.28,27,62.69,High School,Yes,Medium,Yes,85.289,85.124,62.800000000000004,78.11999999999999,15.231464737793852,Good,1,A
79.03,0.5,72.27,62.92,64.93,6.34,21,48.4,Bachelor,Yes,Low,No,71.26050000000001,66.66,63.4,66.70666666666666,48.18,Good,0,C
100.0,4.17,85.21,97.93,62.51,8.41,33,58.39,Bachelor,No,High,No,99.0975,92.842,84.1,81.88333333333333,16.4816247582205,Excellent,1,A
76.12,0.5,79.43,61.42,65.08,7.23,35,36.91,Bachelor,Yes,Medium,Yes,88.3695,68.624,72.30000000000001,68.64333333333333,52.95333333333334,Good,1,C
77.77,3.35,37.04,63.24,65.11,8.24,21,19.06,High School,Yes,High,Yes,63.4845,52.760000000000005,82.4,55.129999999999995,8.514942528735633,Good,0,B
100.0,2.0,70.67,69.01,56.99,6.27,37,42.55,High School,Yes,Medium,No,101.1375,69.674,62.699999999999996,65.55666666666667,23.55666666666667,Excellent,1,C
68.13,1.42,49.68,100.0,28.21,9.94,20,74.52,Bachelor,No,Medium,No,72.4755,79.872,99.39999999999999,59.296666666666674,20.528925619834713,Average,0,D
90.21,6.16,49.63,100.0,59.9,8.0,30,38.6,PhD,Yes,High,No,86.2235,79.852,80.0,69.84333333333333,6.931564245810056,Excellent,1,A
75.02,5.52,67.8,75.26,55.41,5.23,11,77.53,Bachelor,Yes,Medium,Yes,62.1395,72.276,52.300000000000004,66.15666666666667,10.39877300613497,Good,0,B
62.96,2.86,64.89,63.42,100.0,5.81,16,75.62,Bachelor,Yes,Low,No,64.941,64.00800000000001,58.099999999999994,76.10333333333334,16.810880829015545,Average,0,C
78.02,7.78,60.85,45.1,75.97,5.67,39,42.35,PhD,Yes,Medium,No,96.3945,51.400000000000006,56.7,60.64000000000001,6.930523917995443,Good,1,A
88.38,5.29,41.97,70.31,81.09,7.68,42,66.51,High School,Yes,High,No,110.56049999999999,58.974000000000004,76.8,64.45666666666666,6.672496025437201,Excellent,1,A
98.31,3.22,62.08,84.69,69.88,7.5,11,78.32,Master,Yes,Low,Yes,70.48849999999999,75.646,75.0,72.21666666666665,14.710900473933647,Excellent,0,B
100.0,0.5,43.6,74.49,47.97,6.99,5,33.68,Bachelor,Yes,Medium,Yes,50.92,62.134,69.9,55.35333333333333,29.066666666666666,Excellent,0,D
73.58,3.32,70.59,46.92,41.02,7.92,28,36.04,Bachelor,Yes,Medium,Yes,76.763,56.388000000000005,79.2,52.843333333333334,16.34027777777778,Good,0,C
63.19,2.36,64.42,61.27,58.81,7.26,18,61.35,High School,No,High,Yes,64.45400000000001,62.53,72.6,61.5,19.172619047619047,Average,0,C
73.22,2.67,76.27,92.0,36.51,5.69,39,55.73,Bachelor,Yes,Medium,Yes,98.0595,85.708,56.900000000000006,68.25999999999999,20.78201634877384,Good,1,C
60.28,4.24,47.13,70.68,100.0,6.48,16,60.03,Master,Yes,Low,Yes,60.1055,61.260000000000005,64.80000000000001,72.60333333333334,8.994274809160306,Average,0,B
74.74,2.37,86.3,87.72,38.94,9.51,8,56.73,High School,Yes,Medium,Yes,52.341499999999996,87.152,95.1,70.98666666666666,25.608308605341243,Good,0,C
72.88,5.88,68.67,69.0,93.31,4.9,24,48.21,Master,Yes,High,No,73.56049999999999,68.868,49.0,76.99333333333334,9.981104651162791,Good,0,A
88.91,2.55,100.0,60.72,58.04,6.89,34,100.0,High School,Yes,Low,Yes,107.1185,76.43199999999999,68.89999999999999,72.92,28.169014084507044,Excellent,1,B
44.91,1.66,49.57,49.31,48.33,6.71,27,72.04,Bachelor,Yes,Medium,Yes,74.2285,49.414,67.1,49.06999999999999,18.63533834586466,Poor,0,C
67.0,4.67,94.5,72.81,80.5,7.27,13,50.37,Bachelor,Yes,Medium,No,55.5425,81.486,72.69999999999999,82.60333333333334,16.666666666666668,Average,0,B
67.12,3.45,51.2,86.32,67.69,7.25,44,22.75,Bachelor,Yes,Medium,No,95.1795,72.27199999999999,72.5,68.40333333333332,11.50561797752809,Average,1,B
95.81,5.04,83.68,77.45,42.68,7.55,43,34.69,Bachelor,No,Medium,No,106.70599999999999,79.94200000000001,75.5,67.93666666666667,13.85430463576159,Excellent,1,B
61.29,3.81,74.06,81.85,57.33,5.44,32,16.46,Master,Yes,Medium,No,73.56649999999999,78.734,54.400000000000006,71.08,15.397089397089395,Average,0,C
81.4,1.0,38.09,50.41,63.94,4.63,36,44.77,Bachelor,Yes,Low,Yes,93.6825,45.482,46.3,50.81333333333333,19.045,Good,1,D
76.08,4.05,59.91,65.58,57.95,7.3,18,75.31,High School,Yes,Medium,Yes,72.4555,63.312,73.0,61.14666666666667,11.863366336633662,Good,0,B
93.65,1.87,82.12,97.47,60.66,7.56,39,65.86,Bachelor,Yes,Medium,No,107.7425,91.33000000000001,75.6,80.08333333333333,28.61324041811847,Excellent,1,B
86.94,3.76,61.24,65.78,45.5,5.59,31,63.0,Bachelor,Yes,Medium,No,92.679,63.964,55.9,57.50666666666667,12.865546218487395,Excellent,1,B
79.82,2.42,82.88,57.85,78.27,7.41,38,24.09,High School,Yes,Medium,Yes,90.95949999999999,67.862,74.1,73.0,24.23391812865497,Good,1,B
69.68,3.13,75.17,41.91,14.54,6.28,40,50.53,Bachelor,Yes,Low,No,97.0205,55.214,62.800000000000004,43.873333333333335,18.200968523002423,Average,1,C
50.21,3.58,84.75,79.46,75.55,5.84,9,74.43,High School,Yes,Medium,No,49.681,81.576,58.4,79.92,18.504366812227072,Average,0,B
81.71,4.82,74.34,86.36,68.58,6.43,8,32.61,High School,Yes,Low,No,48.75099999999999,81.55199999999999,64.3,76.42666666666666,12.77319587628866,Good,0,B
85.96,2.51,48.17,57.22,60.86,5.86,20,45.41,Master,Yes,High,No,71.43849999999999,53.6,58.6,55.416666666666664,13.723646723646725,Excellent,0,C
54.38,0.5,66.27,100.0,57.82,7.66,16,34.86,High School,Yes,High,Yes,51.748000000000005,86.508,76.6,74.69666666666666,44.18,Average,0,C
59.49,1.78,68.38,87.4,80.01,6.57,6,78.79,Bachelor,Yes,Medium,No,49.519000000000005,79.792,65.7,78.59666666666668,24.59712230215827,Average,0,C
81.78,3.74,65.13,85.69,84.25,7.5,31,57.54,Master,Yes,High,Yes,89.508,77.466,75.0,78.35666666666667,13.740506329113922,Good,1,B
83.09,5.63,51.71,84.33,69.45,8.22,4,40.7,Bachelor,Yes,Medium,No,45.2565,71.282,82.2,68.49666666666667,7.799396681749623,Good,0,B
63.14,4.04,60.69,29.55,40.5,7.32,14,94.07,Bachelor,Yes,Medium,No,66.6165,42.006,73.2,43.580000000000005,12.041666666666666,Average,0,C
69.39,5.29,75.6,85.5,70.42,7.53,5,37.93,Bachelor,Yes,High,No,41.269,81.53999999999999,75.3,77.17333333333333,12.019077901430842,Average,0,B
50.45,3.78,65.82,46.35,54.51,7.97,30,41.22,Bachelor,Yes,Medium,No,72.9625,54.138,79.7,55.559999999999995,13.769874476987448,Average,0,C
98.66,3.89,22.44,76.94,84.01,6.52,20,32.45,Bachelor,No,Medium,No,72.6435,55.13999999999999,65.19999999999999,61.129999999999995,4.588957055214724,Excellent,0,C
58.5,3.06,88.35,60.38,63.92,7.32,18,62.25,Bachelor,Yes,High,No,63.037499999999994,71.568,73.2,70.88333333333333,21.76108374384236,Average,0,B
86.13,5.39,56.96,33.52,87.47,6.13,28,87.01,Bachelor,Yes,Medium,Yes,93.898,42.896,61.3,59.31666666666666,8.913928012519563,Excellent,1,A
77.48,6.46,35.63,92.51,64.53,6.01,31,63.65,Master,Yes,Medium,No,89.53049999999999,69.75800000000001,60.099999999999994,64.22333333333334,4.7761394101876675,Good,1,A
97.34,1.76,65.02,72.26,91.48,7.03,34,54.56,High School,Yes,Medium,Yes,98.709,69.364,70.3,76.25333333333333,23.557971014492754,Excellent,1,B
66.12,3.9,53.92,47.39,53.23,7.42,21,61.17,Bachelor,Yes,Medium,No,69.9345,50.002,74.2,51.51333333333333,11.00408163265306,Average,0,C
78.92,1.35,48.97,98.44,46.79,6.33,41,72.22,Bachelor,Yes,High,Yes,107.17699999999999,78.65199999999999,63.3,64.73333333333333,20.838297872340423,Good,1,C
52.52,6.51,68.15,78.19,68.15,5.6,15,17.05,High School,Yes,Low,Yes,45.1445,74.174,56.0,71.49666666666667,9.074567243675101,Average,0,B
48.92,3.81,90.06,37.65,63.12,5.19,34,70.19,Bachelor,Yes,Low,No,85.6695,58.614000000000004,51.900000000000006,63.61000000000001,18.723492723492722,Poor,1,C
86.95,3.46,73.36,79.42,57.68,5.43,40,62.82,Bachelor,Yes,Medium,No,106.13749999999999,76.99600000000001,54.3,70.15333333333334,16.44843049327354,Excellent,1,B
51.22,1.45,40.44,54.53,89.63,5.43,22,32.54,Master,Yes,High,Yes,59.062,48.89399999999999,54.3,61.53333333333333,16.50612244897959,Average,0,C
74.58,3.09,60.25,70.02,53.56,8.63,29,29.37,High School,Yes,High,Yes,76.9455,66.112,86.30000000000001,61.276666666666664,14.731051344743276,Good,0,C
93.17,3.36,57.31,50.31,44.58,7.12,11,80.91,Master,Yes,Medium,No,69.33699999999999,53.11,71.2,50.73333333333333,13.144495412844039,Excellent,0,C
89.2,1.57,74.49,75.75,64.91,8.35,43,38.95,PhD,Yes,Medium,No,105.4575,75.246,83.5,71.71666666666667,28.984435797665366,Excellent,1,B
68.03,3.77,30.39,64.08,42.78,7.35,24,58.01,Bachelor,Yes,Low,No,74.31299999999999,50.604,73.5,45.75,6.371069182389938,Average,0,B
54.17,1.95,75.57,67.68,55.68,7.58,4,71.46,Bachelor,Yes,High,No,42.8245,70.836,75.8,66.31,25.616949152542368,Average,0,C
85.64,4.28,48.34,79.42,64.92,5.42,16,34.35,Bachelor,Yes,Medium,Yes,62.561499999999995,66.988,54.2,64.22666666666667,9.155303030303031,Excellent,0,B
98.13,1.73,54.74,71.85,95.65,5.32,43,92.23,High School,Yes,Low,Yes,121.90299999999999,65.006,53.2,74.08,20.05128205128205,Excellent,1,B
68.07,3.78,81.53,68.89,36.35,7.59,19,71.36,PhD,Yes,Low,Yes,70.1645,73.946,75.9,62.25666666666667,17.056485355648537,Average,0,B
65.95,3.15,71.07,75.11,70.99,8.46,15,33.34,Master,Yes,Medium,No,53.917500000000004,73.494,84.60000000000001,72.39,17.125301204819273,Average,0,C
70.13,4.04,74.76,41.05,70.85,7.88,13,83.34,Master,Yes,Low,No,64.8805,54.534000000000006,78.8,62.22,14.833333333333334,Good,0,B
86.57,3.8,82.47,66.44,50.65,7.09,14,72.39,High School,Yes,Low,Yes,69.39699999999999,72.852,70.9,66.52,17.181250000000002,Excellent,0,B
96.43,3.67,60.0,68.2,88.39,6.85,21,43.41,Bachelor,Yes,Low,No,76.10300000000001,64.92,68.5,72.19666666666666,12.847965738758031,Excellent,0,B
59.41,2.17,47.1,81.49,79.84,7.05,21,79.37,Bachelor,Yes,Medium,Yes,72.136,67.734,70.5,69.47666666666667,14.858044164037855,Average,0,C
55.53,4.5,69.68,60.48,48.32,5.9,14,68.7,Bachelor,No,Medium,Yes,57.6105,64.16,59.0,59.49333333333333,12.66909090909091,Average,0,C
100.0,4.02,79.89,70.91,41.66,6.39,27,27.03,High School,No,Medium,Yes,82.2575,74.50200000000001,63.9,64.15333333333334,15.914342629482073,Excellent,1,B
75.34,4.65,66.19,70.82,85.7,8.6,28,34.56,High School,Yes,Low,Yes,77.009,68.96799999999999,86.0,74.23666666666666,11.71504424778761,Good,0,B
81.79,3.45,88.82,100.0,43.26,5.78,40,75.11,High School,Yes,High,Yes,107.404,95.52799999999999,57.800000000000004,77.36,19.95955056179775,Good,1,B
67.62,3.18,59.14,78.54,59.83,5.66,21,76.63,Master,Yes,Medium,Yes,74.3245,70.78,56.6,65.83666666666666,14.148325358851675,Average,0,B
85.35,1.67,61.28,54.32,76.71,7.05,12,90.13,High School,Yes,High,No,70.405,57.104,70.5,64.10333333333334,22.951310861423224,Excellent,0,C
92.4,2.31,44.48,83.09,68.16,6.02,27,72.47,High School,Yes,Low,No,90.95750000000001,67.646,60.199999999999996,65.24333333333333,13.438066465256796,Excellent,1,C
82.5,2.65,47.99,65.71,47.1,5.88,36,38.9,High School,Yes,Low,Yes,92.6,58.622,58.8,53.599999999999994,13.147945205479452,Good,1,C
100.0,5.23,68.85,75.3,83.35,9.96,37,41.4,Bachelor,No,Low,No,100.85,72.72,99.60000000000001,75.83333333333333,11.051364365971105,Excellent,1,A
73.1,1.26,41.98,52.98,79.4,7.29,6,95.6,High School,Yes,Medium,Yes,58.485,48.58,72.9,58.120000000000005,18.575221238938052,Good,0,D
74.06,1.09,63.95,78.28,70.79,7.47,41,94.03,Bachelor,Yes,Low,No,110.9285,72.548,74.7,71.00666666666667,30.598086124401917,Good,1,B
81.47,3.37,64.29,40.42,42.97,6.37,22,29.04,Bachelor,Yes,Low,Yes,68.77449999999999,49.968,63.7,49.22666666666667,14.7116704805492,Good,0,C
84.97,2.12,75.52,82.7,79.96,6.98,16,38.8,Bachelor,Yes,Medium,Yes,63.439499999999995,79.828,69.80000000000001,79.39333333333333,24.205128205128204,Good,0,B
81.42,2.81,82.29,81.71,97.09,5.85,30,36.97,Bachelor,Yes,Medium,Yes,82.73949999999999,81.94200000000001,58.5,87.03000000000002,21.598425196850396,Good,1,B
58.73,2.71,73.96,52.46,51.15,6.74,2,46.31,High School,Yes,Medium,Yes,35.132999999999996,61.06,67.4,59.19,19.935309973045822,Average,0,C
82.69,2.36,100.0,90.52,40.14,7.36,20,77.78,Bachelor,Yes,High,Yes,78.3865,94.312,73.60000000000001,76.88666666666666,29.761904761904763,Good,0,B
72.39,2.13,67.1,57.54,56.23,5.86,17,76.21,High School,Yes,High,No,69.889,61.364000000000004,58.6,60.28999999999999,21.43769968051118,Good,0,C
69.29,1.82,96.3,53.24,63.37,4.81,35,40.23,Master,Yes,Medium,No,86.809,70.464,48.099999999999994,70.97,34.148936170212764,Average,1,C
78.49,2.83,21.64,21.75,41.01,6.95,26,42.19,Bachelor,Yes,High,Yes,77.01899999999999,21.706,69.5,28.133333333333336,5.650130548302872,Good,0,D
63.58,0.87,71.39,66.74,26.27,5.36,3,90.12,High School,Yes,Medium,Yes,49.283,68.6,53.6,54.800000000000004,38.17647058823529,Average,0,D
60.97,4.59,58.09,58.53,20.12,7.21,15,49.56,PhD,Yes,Medium,No,56.2295,58.354000000000006,72.1,45.580000000000005,10.391771019677996,Average,0,C
38.77,1.91,71.2,72.28,29.99,4.0,42,46.1,High School,Yes,High,Yes,88.0945,71.84800000000001,40.0,57.823333333333345,24.467353951890033,Poor,1,C
100.0,4.32,70.87,70.36,46.9,7.72,21,58.99,Bachelor,Yes,Medium,No,81.2475,70.56400000000001,77.2,62.71000000000001,13.321428571428571,Excellent,1,B
86.34,2.31,80.04,79.38,31.58,7.44,8,23.04,Bachelor,Yes,Medium,No,47.979,79.644,74.4,63.666666666666664,24.181268882175228,Excellent,0,C
76.25,5.37,78.17,79.51,53.59,6.87,40,15.94,High School,Yes,Low,Yes,90.6725,78.974,68.7,70.42333333333333,12.271585557299844,Good,1,A
67.99,3.57,68.24,54.23,61.77,7.87,3,70.47,Master,Yes,Medium,No,45.914,59.833999999999996,78.7,61.413333333333334,14.932166301969364,Average,0,B
35.0,1.56,43.88,64.68,100.0,4.0,29,28.81,Bachelor,No,Low,Yes,62.9525,56.36,40.0,69.52,17.140625,Poor,0,D
67.07,8.0,75.74,64.59,88.76,4.72,14,26.01,Bachelor,No,Medium,Yes,50.977,69.05,47.199999999999996,76.36333333333333,8.415555555555555,Average,0,A
88.74,2.75,43.15,55.57,85.27,5.34,32,45.46,Master,Yes,Low,No,90.424,50.602000000000004,53.4,61.330000000000005,11.506666666666666,Excellent,1,B
92.13,2.5,49.36,31.28,59.83,6.52,24,62.38,Bachelor,Yes,Medium,Yes,83.84049999999999,38.512,65.19999999999999,46.82333333333333,14.102857142857143,Excellent,1,C
